date,value
2102,48.105018554253554
2103,18.876948809398563
2104,88.9588553824284
2105,7.405051640615579
2106,65.74515518844689
2107,26.774609004698192
2108,39.78968305042952
2109,28.35735575350109
2110,58.41529037857782
2111,45.554812697433775
2112,93.46031017331644
2113,54.67144326137026
2114,35.71183978846351
2115,88.53703971229577
2116,1.271781071156175
2117,20.056221761956472
2118,9.820391667482298
2119,98.55553909267299
2120,84.57005308320691
2121,54.14906361506597
2122,12.49885918216258
2123,6.501382857928539
2124,64.82377847006646
2125,31.816314353852036
2126,63.95888734799114
2127,98.02672901379184
2128,36.23856331900453
2129,19.141418822860757
2130,65.87980712702137
2131,87.81419365766159
2132,74.19823359700544
2133,40.732672320493
2134,87.53177177289129
2135,76.79237484783282
2136,52.49456925679521
2137,17.724197342598092
2138,14.48568767672147
2139,80.10405028946109
2140,19.429896479469065
2141,16.665480566180534
2142,49.245982105939355
2143,71.26611335132003
2144,57.74394700754017
2145,56.51174434615094
2146,69.22472353608606
2147,96.75011440170013
2148,88.8772445322608
2149,50.208992726457694
2150,95.71836693352004
2151,81.39496193146695
2152,44.17314198573774
2153,45.67538302650216
2154,9.06866876459993
2155,4.652099692989031
2156,83.76419295969913
2157,50.951902564116146
2158,98.43024834907533
2159,23.744967829649678
2160,41.37130597878602
2161,54.64262807547931
2162,39.013654078737225
2163,48.69867063065922
2164,9.609079730162406
2165,30.301024467990633
2166,29.206003239804758
2167,66.45220132931551
2168,78.86700822206723
2169,68.11859373016726
2170,27.698172695100975
2171,49.65812673725809
2172,57.7267249202811
2173,17.271682663596046
2174,99.53626697545958
2175,39.947184391460496
2176,97.15224952199254
2177,42.30540929046429
2178,11.063510583000147
2179,41.43884303242997
2180,44.25965580338702
2181,92.43386946512145
2182,76.86468777996225
2183,20.738841473942227
2184,58.963565860772334
2185,40.91169589055901
2186,22.4687907751828
2187,89.78850491787816
2188,10.345110583379459
2189,8.11942719907739
2190,77.88669810710513
2191,24.54861316122281
2192,47.15599422409411
2193,90.30346429452626
2194,86.2386734836599
2195,7.171573196646586
2196,6.669114509050278
2197,21.4447761739053
2198,52.878136963866055
2199,44.332906639897594
